,Date,equal_ret,market_ret,long_ret,short_ret,long_short
83,2008-12-31,0.088293,2.87e-06,0.111502,0.063561,0.047941
84,2009-01-30,0.044782,9.07e-06,0.065812,-0.004207,0.070019
85,2009-02-27,-0.097389,-1.183e-05,-0.0881,-0.104833,0.016733
86,2009-03-31,0.038012,4.4e-06,0.063552,0.01626,0.047292
87,2009-04-30,0.055208,6.82e-06,0.059346,0.046758,0.012588
88,2009-05-29,0.049367,3.95e-06,0.068808,0.026924,0.041884
89,2009-06-30,-0.049929,-8.1e-06,-0.033056,-0.057042,0.023986
90,2009-07-31,0.03891,4.19e-06,0.044704,0.039705,0.004999
91,2009-08-31,0.014739,1.93e-06,0.020495,0.00603,0.014465
92,2009-09-30,-0.000579,1e-07,0.003798,-0.008468,0.012266
93,2009-10-30,0.02557,5.89e-06,0.034834,0.006633,0.028201
94,2009-11-30,0.026122,2e-06,0.041193,0.00979,0.031403
95,2009-12-31,0.042036,5.32e-06,0.043703,0.034008,0.009695
96,2010-01-29,-0.012409,-1.42e-06,-0.010365,-0.017652,0.007287
97,2010-02-26,0.046301,6.43e-06,0.05836,0.031596,0.026764
98,2010-03-31,0.029547,3.13e-06,0.03178,0.024944,0.006836
99,2010-04-30,-0.07842,-1.232e-05,-0.078144,-0.070598,-0.007546
100,2010-05-28,-0.04876,-6.76e-06,-0.047356,-0.052497,0.005141
101,2010-06-30,0.011345,6.43e-06,0.025435,-0.021134,0.046569
102,2010-07-30,0.00839,3.1e-06,0.016655,0.001805,0.01485
103,2010-08-31,0.039761,8.36e-06,0.052647,0.017977,0.03467
104,2010-09-30,0.011529,2.6e-06,0.019101,0.000535,0.018566
105,2010-10-29,0.033849,6.56e-06,0.036498,0.029055,0.007443
106,2010-11-30,0.031449,6.77e-06,0.035487,0.01741,0.018077
107,2010-12-31,0.011401,1.51e-06,0.012946,0.011481,0.001465
108,2011-01-31,0.026028,4.69e-06,0.030207,0.019214,0.010993
109,2011-02-28,-0.008503,-2.06e-06,-0.003546,-0.012535,0.008989
110,2011-03-31,0.006182,1.38e-06,0.007957,-0.003898,0.011855
111,2011-04-29,-0.025779,-4.12e-06,-0.019574,-0.025645,0.006071
112,2011-05-31,-0.04412,-8.06e-06,-0.036385,-0.046165,0.00978
113,2011-06-30,0.02265,3.35e-06,0.031551,0.018625,0.012926
114,2011-07-29,-0.081488,-1.418e-05,-0.081085,-0.078665,-0.00242
115,2011-08-31,-0.033572,-5e-06,-0.024704,-0.040216,0.015512
116,2011-09-30,0.005229,3.65e-06,0.015538,-0.029502,0.04504
117,2011-10-31,0.003015,1.09e-06,0.009948,-0.004144,0.014092
118,2011-11-30,0.011938,1.88e-06,0.026841,0.001717,0.025124
119,2011-12-30,0.026542,3.45e-06,0.02964,0.014837,0.014803
120,2012-01-31,0.036928,5.13e-06,0.046674,0.028117,0.018557
121,2012-02-29,-0.01523,-2.28e-06,-0.020317,-0.011703,-0.008614
122,2012-03-30,-0.025575,-3.73e-06,-0.025241,-0.025517,0.000276
123,2012-04-30,-0.022858,-4.08e-06,-0.019249,-0.025207,0.005958
124,2012-05-31,0.000873,6.3e-07,0.008424,-0.012075,0.020499
125,2012-06-29,0.007769,-6.8e-07,0.020563,-0.004928,0.025491
126,2012-07-31,0.015572,3.24e-06,0.021846,0.000306,0.02154
127,2012-08-31,0.021695,3.54e-06,0.029065,0.012021,0.017044
128,2012-09-28,0.00853,2.55e-06,0.010228,-0.000461,0.010689
129,2012-10-31,-0.009106,-1.8e-06,0.003097,-0.015088,0.018185
130,2012-11-30,-0.003018,2.9e-07,-0.000611,-0.009273,0.008662
131,2012-12-31,0.035694,4.54e-06,0.051816,0.027044,0.024772
132,2013-01-31,0.0067,1.14e-06,0.008566,0.002164,0.006402
133,2013-02-28,0.018775,3.5e-06,0.021097,0.000531,0.020566
134,2013-03-28,-0.020925,-2.7e-06,-0.01732,-0.027059,0.009739
135,2013-04-30,0.01506,3.15e-06,0.014443,0.01218,0.002263
136,2013-05-31,0.000685,1.12e-06,0.004778,-0.007973,0.012751
137,2013-06-28,0.017591,3.67e-06,0.031239,-0.002208,0.033447
138,2013-07-31,0.000197,3e-07,0.002497,0.015799,-0.013302
139,2013-08-30,0.030587,4.93e-06,0.029581,0.022834,0.006747
140,2013-09-30,0.000129,-4e-07,-0.004532,0.005832,-0.010364
141,2013-10-31,-0.012897,-1.57e-06,-0.014852,-0.005071,-0.009781
142,2013-11-29,-0.007505,-4.1e-07,-0.003751,-0.00665,0.002899
143,2013-12-31,0.009407,-9.6e-07,0.012214,0.009441,0.002773
144,2014-01-31,-0.004229,1.24e-06,-0.008695,-0.00796,-0.000735
145,2014-02-28,0.01754,1.81e-06,0.019859,0.016518,0.003341
146,2014-03-31,-0.020841,-2.98e-06,-0.018002,-0.023686,0.005684
147,2014-04-30,-0.012991,-3.6e-07,-0.010859,-0.019688,0.008829
148,2014-05-30,0.016112,2.79e-06,0.016593,0.014358,0.002235
149,2014-06-30,-0.01167,-4.2e-07,-0.003162,-0.012711,0.009549
150,2014-07-31,-0.006873,-1.84e-06,-0.009545,-0.016069,0.006524
151,2014-08-29,7e-05,-1.9e-07,-0.000116,0.000697,-0.000813
152,2014-09-30,-0.023638,-3.53e-06,-0.02261,-0.030696,0.008086
153,2014-10-31,-0.00094,8.7e-07,0.000448,-0.003062,0.00351
154,2014-11-28,-0.004293,8e-08,-0.015518,-0.010198,-0.00532
155,2014-12-31,-0.000499,-1.2e-07,0.004193,-0.006685,0.010878
156,2015-01-30,0.032079,5.5e-06,0.034098,0.021185,0.012913
157,2015-02-27,-0.009407,-2.57e-06,-0.004884,-0.011271,0.006387
158,2015-03-31,0.016677,1.76e-06,0.02143,0.007891,0.013539
159,2015-04-30,-0.003475,7e-08,0.00226,-0.015474,0.017734
160,2015-05-29,0.007068,-6.9e-07,0.003832,-0.001293,0.005125
161,2015-06-30,-0.02871,-2.12e-06,-0.007947,-0.040133,0.032186
162,2015-07-31,-0.021612,-2.48e-06,-0.021538,-0.020494,-0.001044
163,2015-08-31,-0.000784,-2.3e-07,0.004937,-0.013834,0.018771
164,2015-09-30,0.054057,7.67e-06,0.072871,0.033933,0.038938
165,2015-10-30,0.019706,1.86e-06,0.029276,0.01444,0.014836
166,2015-11-30,-0.03081,-1.62e-06,-0.026281,-0.033399,0.007118
167,2015-12-31,-0.063076,-1.084e-05,-0.054365,-0.062155,0.00779
168,2016-01-29,-0.026253,-5.48e-06,-0.024943,-0.035736,0.010793
169,2016-02-29,0.077406,7.44e-06,0.113839,0.069833,0.044006
170,2016-03-31,-0.008519,-1.86e-06,-0.003573,-0.007074,0.003501
171,2016-04-29,-0.021362,-1.48e-06,-0.023129,-0.024779,0.00165
172,2016-05-31,0.025773,2.17e-06,0.026023,0.033578,-0.007555
173,2016-06-30,0.021064,2.6e-06,0.026047,0.018648,0.007399
174,2016-07-29,0.008667,7.3e-07,0.010094,0.016348,-0.006254
175,2016-08-31,0.020542,1.65e-06,0.028429,0.014964,0.013465
176,2016-09-30,-0.010491,-1.37e-06,-0.016973,-0.01302,-0.003953
177,2016-10-31,-0.0103,1.3e-07,-0.004662,-0.021302,0.01664
178,2016-11-30,0.023516,3.69e-06,0.01793,0.011862,0.006068
179,2016-12-30,0.01916,2.68e-06,0.023483,0.020164,0.003319
180,2017-01-31,0.004386,9.6e-07,0.00409,0.002385,0.001705
181,2017-02-28,-0.008888,4e-08,-0.011071,-0.012081,0.00101
182,2017-03-31,-0.010421,-6e-07,-0.007043,-0.015508,0.008465
183,2017-04-28,-0.006124,8.9e-07,-0.006424,-0.012394,0.00597
184,2017-05-31,0.011032,1.68e-06,0.008384,0.005263,0.003121
185,2017-06-30,-0.004048,2.1e-07,-0.002775,-0.01124,0.008465
186,2017-07-31,-0.009464,4.7e-07,-0.007256,-0.017455,0.010199
187,2017-08-31,0.00408,-4.9e-07,0.00926,-0.000153,0.009413
188,2017-09-29,0.015643,2.1e-06,0.021308,0.008241,0.013067
189,2017-10-31,-0.002775,7.7e-07,-0.004357,-0.004021,-0.000336
190,2017-11-30,-0.010682,-7.9e-07,-0.007929,-0.012077,0.004148
191,2017-12-29,0.02779,4.88e-06,0.028119,0.027698,0.000421
192,2018-01-31,-0.040384,-8.63e-06,-0.036812,-0.043108,0.006296
193,2018-02-28,0.025914,1.75e-06,0.03084,0.025731,0.005109
194,2018-03-29,-0.006717,-2.28e-06,0.000255,-0.008493,0.008748
195,2018-04-30,0.01629,1.99e-06,0.020595,0.021074,-0.000479
196,2018-05-31,0.01662,4.03e-06,0.021687,0.001916,0.019771
197,2018-06-29,0.026071,4.48e-06,0.031638,0.007423,0.024215
198,2018-07-31,0.004535,2.32e-06,0.011711,-0.001295,0.013006
199,2018-08-31,-0.014903,-1.94e-06,-0.011466,-0.019492,0.008026
200,2018-09-28,-0.022778,-2.56e-06,-0.021147,-0.023437,0.00229
201,2018-10-31,0.038444,6.75e-06,0.043923,0.028994,0.014929
202,2018-11-30,-0.045562,-7.7e-06,-0.042644,-0.054437,0.011793
203,2018-12-31,0.079172,6.04e-06,0.115951,0.078344,0.037607
204,2019-01-31,0.003444,1.3e-07,0.000914,0.002168,-0.001254
205,2019-02-28,-0.01579,-2.6e-06,-0.021565,0.021192,-0.042757
206,2019-03-29,0.023258,3.73e-06,0.026973,0.005493,0.02148
207,2019-04-30,-0.008088,-3.3e-06,-0.011093,-0.005033,-0.00606
208,2019-05-31,0.017072,7.11e-06,0.025667,-0.002902,0.028569
209,2019-06-28,0.002346,1.79e-06,0.015376,-0.009821,0.025197
210,2019-07-31,-0.04154,-5.85e-06,-0.036226,-0.0396,0.003374
211,2019-08-30,0.022468,2.95e-06,0.030938,0.012811,0.018127
212,2019-09-30,-0.017545,-2.19e-06,-0.012704,-0.026435,0.013731
213,2019-10-31,0.016719,2.88e-06,0.028424,-0.000979,0.029403
214,2019-11-29,0.003574,2.3e-07,0.003805,-0.007119,0.010924
215,2019-12-31,0.008235,1.29e-06,0.017571,0.004117,0.013454
